Name,Event Image,Event Website Link,Event Venue Name,Event Venue Address,Dates,Date Details,Event Date,Times,Time Summary,Neighborhood,Event Categories,Event Type,Event Description,State,City,Batch
Talking Tech: Book Club - Jurassic Park by Michael Crichton,https://www.computermuseumofamerica.org/wp-content/uploads/2024/01/Jurassic-Park-Flyer-300x300.jpg,https://www.computermuseumofamerica.org/event/talking-tech-book-club-jurassic-park-by-michael-crichton/?instance_id=343,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076",18-May-24,"['May 18, 2024']",5/18/2024 14:00,['2:00PM-3:00PM'],2PM-3PM,Roswell,Family,In Person,"Join Rena Youngblood, Executive Director of CMoA; Kaleigh Kendrick, college professor and content developer at Microsoft; and Dedren Snead, futurist and CEO of SUBSUME Media to discuss Jurassic Park by Michael Crichton on Saturday, May 18th at 2 PM.",Georgia,Roswell,5092024
Talking Tech at CMoA - Rick Spears - Bringing Up ‘Saur’ Subjects: Pixels and Paleontology,https://www.computermuseumofamerica.org/wp-content/uploads/2023/01/Talking-Tech-1080-x-1080-px-v3-300x300.png,https://www.computermuseumofamerica.org/event/talking-tech-at-cmoa-rick-spears-bringing-up-saur-subjects-pixels-and-paleontology/?instance_id=350,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076",18-May-24,"['May 18, 2024']",5/18/2024 15:30,['3:30PM-4:30PM'],3:30PM-4:30PM,Roswell,Family,In Person,"<p>In the early 1800s, while William Buckland described the first dinosaur specimen, Charles Babbage was dreaming up the first computer. It would be nearly 170 years until dinosaurs and computers merged in the making of 'Jurassic Park.' Since then, digital technology has made great strides in the areas of fossil analysis, specimen replication, and paleo imagery.</p>",Georgia,Roswell,5092024
Tech Tales - Storytime for Young Explorers - 6/1/24 - Boxitects,https://www.computermuseumofamerica.org/wp-content/uploads/2024/04/Boxitects-removebg-preview.png,https://www.computermuseumofamerica.org/event/tech-tales-storytime-for-young-explorers-6-1-24-boxitects/?instance_id=366,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076",1-Jun-24,"['June 1, 2024']",6/1/2024 14:00,['11:00PM-2:00PM'],11:00PM-12:00PM,Roswell,Family,In Person,"Boxitects by Kim Smith is the story of two gifted young engineers learning to cooperate and design together. Join us as we kick off our Tech Tales summer series on Saturday, June 1st!",Georgia,Roswell,5092024
Punch Card Machine Demo,https://www.computermuseumofamerica.org/wp-content/uploads/2020/07/punchcardbox-300x300.png,https://www.computermuseumofamerica.org/event/punch-card-machine-demo-54/?instance_id=357,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076",1-Jun-24,"['June 1, 2024']",6/1/2024 14:00,['2:00PM-4:00PM'],2PM-4PM,Roswell,Family,In Person,"The punchcard exhibit starts with a Jacquard Loom, one of the earliest uses of punched cards, which helped to make woven fabric more affordable. Herman Hollerith's invention of electromechanical processing of cards tabulated data for the 1890 census. The IBM family of punch card machines was used for data processing and record-keeping across many industries and academia. Punched cards were even used for matchmaking at the University of Iowa in 1963!",Georgia,Roswell,5092024
2024 Summer Camps: Amateur (Ham Radio) Radio Camp,https://www.computermuseumofamerica.org/wp-content/uploads/2023/02/cropped-nfarl_logo_transparent_background_500x500-1-e1591324779711.png,https://www.computermuseumofamerica.org/event/2024-summer-camps-amateur-ham-radio-radio-camp/?instance_id=344,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076","June 3-7, 2024","['June 3, 2024', 'June 4, 2024' ,'June 5, 2024' ,'June 6, 2024' ,'June 7, 2024']",6/7/2024 9:00,"['9:00AM-4:00PM', '9:00AM-4:00PM', '9:00AM-4:00PM', '9:00AM-4:00PM', '9:00AM-4:00PM']",9:00AM-4:00PM,Roswell,Family,In Person,"In this fun, full-day, week long camp, you will learn about the science behind radio transmissions, the Electromagnetic Spectrum, and waves.  Learn how to use this technology to talk to people all over the world and even out of this world on the International Space Station!",Georgia,Roswell,5092024
2024 Summer Camps: Minecraft Chemistry Labs,https://www.computermuseumofamerica.org/wp-content/uploads/2022/01/STREM-HQ-150x150.jpg,https://www.computermuseumofamerica.org/event/2024-summer-camps-minecraft-chemistry-labs/?instance_id=315,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076","June 3-7, 2024","['June 3, 2024', 'June 4, 2024' ,'June 5, 2024' ,'June 6, 2024' ,'June 7, 2024']",6/7/2024 9:00,"['9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM']",9:00AM-12:00PM,Roswell,Family,In Person,"Students can learn to create and automate their own Minecraft world using Redstone, build structures, and make different compounds.  They can even make pigs fly with helium, or set off underwater TNT!  With this educational program, students will learn the fundamentals of engineering and chemistry, all while having fun in a Minecraft world.",Georgia,Roswell,5092024
2024 Summer Camps: Fractions with Origami,https://www.computermuseumofamerica.org/wp-content/uploads/2022/01/STREM-HQ-150x150.jpg,https://www.computermuseumofamerica.org/event/2024-summer-camps-fractions-with-origami/?instance_id=316,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076","June 3-7, 2025","['June 3, 2024', 'June 4, 2024' ,'June 5, 2024' ,'June 6, 2024' ,'June 7, 2024']",6/7/2024 9:00,"['1:00PM-4:00PM', '1:00PM-4:00PM', '1:00PM-4:00PM', '1:00PM-4:00PM', '1:00PM-4:00PM']",1:00PM-4:00PM,Roswell,Family,In Person,"Get Creative!  Learn the intriguing Japanese art of origami and produce amazing paper sculptures!  Sharpen your fine motor skills with origami challenges while learning about Numbers and Fractions.  Learn to make dragons, frogs, birds, or flowers and even Ninja star sculptures!",Georgia,Roswell,5092024
Tech Tales - Storytime for Young Explorers - 6/8/24 - Hedy Lamarr’s Double Life,https://www.computermuseumofamerica.org/wp-content/uploads/2023/03/Hedy-Lamarr_s-Double-Life-217x300.jpg,https://www.computermuseumofamerica.org/event/tech-tales/?instance_id=367,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076",8-Jun-24,"['June 8, 2024']",6/8/2024 11:00,['11:00AM-12:00PM'],11AM-12PM,Roswell,Family,In Person,"Join us as we celebrate the 83rd anniversary of Hedy Lamarr and George Antheil's filing of their Secret Communications Patent, which laid the foundation for modern Wi-Fi and Bluetooth systems. In honor of this occasion, we will be reading Hedy Lamarr's Double Life: Hollywood Legend and Brilliant Inventor by Laurie Wallmark. This recounts Hedy Lamarr's double life as both a renowned Hollywood actress and an ingenious inventor. Discover how her passion for science and engineering led her to make groundbreaking contributions to the technology we use every day.",Georgia,Roswell,5092024
2024 Summer Camps: 3D Engineering Design,https://www.computermuseumofamerica.org/wp-content/uploads/2022/01/STREM-HQ-150x150.jpg,https://www.computermuseumofamerica.org/event/2024-summer-camps-3d-engineering-design/?instance_id=319,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076","June 10-14, 2024","['June 10, 2024' ,'June 11, 2024' ,'June 12, 2024' ,'June 13, 2024', 'June 14, 2024']",6/14/2024 12:00,"['9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM']",9:00AM-12:00PM,Roswell,Family,In Person,"Opportunities in Animation Studios like Disney, Pixar, Electronic Arts Game Designing etc.  Students work in Blender making unique 2D models, learn special effects and 3D animation in this fun camp.  Blender is an open source software which has been used to make some fun and published animations.",Georgia,Roswell,5092024
"2024 Summer Camps: Robotics - Code, Build, Challenge!",https://www.computermuseumofamerica.org/wp-content/uploads/2022/01/STREM-HQ-150x150.jpg,https://www.computermuseumofamerica.org/event/2024-summer-camps-robotics-code-build-challenge/?instance_id=317,Computer Museum of America,"5000 Commerce Pkwy Roswell, GA 30076","June 10-14, 2024","['June 10, 2024' ,'June 11, 2024' ,'June 12, 2024' ,'June 13, 2024', 'June 14, 2024']",6/14/2024 12:00,"['9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM', '9:00AM-12:00PM']",9:00AM-12:00PM,Roswell,Family,In Person,"Campers work on Mindstorm EV3 robots and learn to build and code the robot.  Campers will be able to build and program robots to engage in various challenges such as robot obstacle courses, mazes, and more fun and exciting matches.",Georgia,Roswell,5092024
